rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,density_factor,luxurious,temporary,furnished,area_cat_ecoded,zurich_city,recidual (error),price,predicted_price,description_raw,bfs_name,postalcode,town
2.0,54,29944,10008.0,32.4584678868,491193.0,85446,27.0,16.94438941450076,0,0,0,2.0,1,933.9000000000001,4853,3919.1,«2 Bedroom Apartment Senior Balcony»,Zürich,8004, Zürich
2.0,49,50950,5792.0,32.4584678868,491193.0,85446,24.5,16.94438941450076,0,0,0,0.0,1,963.4766666666669,4335,3371.523333333333,«2 Bedroom Apartment Junior Terrace»,Zürich,8003, Zürich
3.0,76,50950,5792.0,32.4584678868,491193.0,85446,25.33,25.416584121751136,0,0,0,2.0,1,826.1233333333339,1970,2796.123333333334,«3- Zimmerwohnung im Kreis 3 direkt beim Goldbrunnenplatz»,Zürich,8003, Zürich
2.5,65,41411,4512.0,32.4584678868,491193.0,85446,26.0,21.18048676812595,0,0,0,2.0,1,893.7399999999998,5900,5006.26,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,8037, Zürich
2.5,75,41411,4512.0,32.4584678868,491193.0,85446,30.0,21.18048676812595,0,0,0,2.0,1,896.1300000000001,6900,6003.87,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,8037, Zürich
3.5,90,41411,4512.0,32.4584678868,491193.0,85446,25.71,29.652681475376326,0,1,0,2.0,1,872.98,1750,2622.98,«BEFRISTETES WOHNEN BIS 31. MÄRZ 2024»,Zürich,8049, Zürich
2.5,70,78801,5736.0,32.4584678868,491193.0,85446,28.0,21.18048676812595,0,0,0,2.0,1,1545.3999999999996,5900,4354.6,«Spacious apartment with spectacular view and luxururious design»,Zürich,8057, Zürich
3.5,126,37639,3254.0,32.4584678868,491193.0,85446,36.0,29.652681475376326,0,0,0,1.0,1,1249.38,6575,5325.62,«Live Above - Exklusive Mietwohnung über dem FIFA World Football Museum»,Zürich,8002, Zürich
4.5,137,39647,2574.0,32.4584678868,491193.0,85446,30.44,38.12487618262671,0,0,0,1.0,1,1466.9566666666665,875,2341.9566666666665,«HISTORISCH MIT PRIVATER SONNENTERRASSE IM ZENTRUM»,Zürich,8001, Zürich
5.5,200,113173,1662.5973262818,24.535003932,73339.0,70966,36.36,40.79205680373626,0,0,0,1.0,0,930.7633333333333,5600,4669.236666666667,"«RUHIG UND SONNIG, MIT WUNDERSCHÖNER AUSSICHT»",Winterthur,8404, Winterthur
3.5,130,18139,3298.0,29.0313688737,6582.0,113194,37.14,28.354811349300036,0,0,0,1.0,0,1266.21,6490,5223.79,«Weitblick im neu renovierten 2-Schlafzimmer-Serviced Apartment»,Thalwil,8800, Thalwil
4.5,101,35007,1228.7469287469,23.0096837775,17237.0,79839,22.44,32.015536551949396,0,0,0,1.0,0,862.9201666666663,3210,2347.0798333333337,«Helle und moderne Maisonette-Wohnung mit Galerie»,Uster,8610, Uster
